               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10894,            0.028496,                   0,            0.032096,            0.026549,              0.0374,            0.012459,            0.054033,            0.015532,                   0,              0.0766,              0.0026,              0.0026
                   1,            0.068874,             0.02463,                   0,             0.48619,             0.47732,             0.40592,             0.14461,            0.045557,            0.010148,                   0,            0.052248,           0.0052475,           0.0052475
                   2,            0.057679,            0.020179,                   0,             0.42018,             0.43363,             0.36703,             0.17104,            0.036612,           0.0085797,                   0,            0.027842,           0.0078416,           0.0078416
                   3,            0.052066,            0.017934,                   0,             0.46607,             0.62832,             0.47826,              0.1845,            0.036268,           0.0073106,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.051063,            0.017853,                   0,             0.78986,             0.66372,             0.76613,             0.34249,            0.028997,           0.0068825,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.047579,            0.016682,                   0,             0.59438,             0.37168,             0.45451,             0.18773,            0.033239,            0.007272,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.046324,            0.015339,                   0,             0.61318,             0.54867,             0.59248,             0.30384,            0.025999,            0.007556,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041425,            0.015041,                   0,             0.33485,             0.12389,             0.13935,            0.053272,            0.044589,           0.0082843,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041824,            0.013995,                   0,             0.29624,             0.14159,             0.13959,            0.057705,            0.038147,            0.009594,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.038808,            0.013806,                   0,             0.67535,             0.74336,             0.75338,             0.41356,            0.028836,           0.0045816,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.038979,            0.014054,                   0,             0.83875,             0.92064,             0.94028,             0.51555,            0.020496,           0.0041678,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.036375,            0.012654,                   0,             0.72368,             0.66372,             0.73158,             0.45282,            0.023648,           0.0061359,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.039824,            0.012487,                   0,             0.85903,             0.76106,             0.88578,             0.52637,            0.021412,           0.0052043,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.037378,            0.013236,                   0,             0.91174,             0.82275,              0.9046,             0.61586,            0.018502,           0.0046492,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.035867,            0.012826,                   0,             0.96193,             0.93805,             0.97913,             0.66912,            0.016469,            0.003538,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.031289,            0.011452,                   0,             0.98387,             0.93805,             0.98812,             0.72423,            0.014625,           0.0035502,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.032296,            0.011456,                   0,             0.98129,             0.92847,             0.97363,              0.6658,             0.01715,           0.0033825,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.034404,            0.011312,                   0,             0.93467,             0.88631,             0.96296,             0.64006,            0.016606,           0.0038238,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029219,            0.010962,                   0,             0.92461,             0.86726,             0.92923,               0.671,            0.016974,           0.0044312,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.031585,            0.011444,                   0,             0.97408,              0.9646,             0.98362,             0.71826,            0.014041,           0.0032732,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.032107,            0.011301,                   0,             0.99098,             0.95575,              0.9892,             0.69877,            0.016919,           0.0032276,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.031459,            0.010857,                   0,             0.98174,             0.95135,             0.98531,             0.65565,            0.019663,           0.0035818,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.032302,            0.011035,                   0,             0.97152,              0.9469,             0.98257,             0.62521,            0.017225,            0.003691,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.029638,            0.010326,                   0,             0.96216,             0.97345,             0.98987,             0.72191,            0.014159,           0.0037127,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.03086,            0.011098,                   0,             0.98164,             0.95575,             0.99054,             0.69898,             0.01416,           0.0032547,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.031445,            0.010249,                   0,             0.97617,              0.9823,             0.99284,             0.73497,            0.012727,           0.0030541,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.030198,            0.010669,                   0,              0.9909,             0.96362,             0.99083,             0.76377,             0.01374,           0.0031451,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.027254,           0.0099602,                   0,              0.9537,             0.99115,             0.99273,             0.76503,              0.0126,           0.0031202,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.029782,           0.0099212,                   0,                   1,             0.95412,             0.99324,             0.73973,            0.013438,           0.0029113,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.029518,            0.010684,                   0,             0.99094,              0.9823,              0.9943,             0.73431,            0.013754,           0.0029649,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.027079,           0.0094586,                   0,             0.99992,             0.97345,             0.99408,             0.71749,            0.016201,           0.0031113,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.028093,            0.010224,                   0,             0.96534,             0.98578,              0.9943,             0.76959,             0.01198,           0.0027571,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.026527,            0.010059,                   0,             0.96073,              0.9823,             0.99253,             0.76196,            0.011899,           0.0029317,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.027713,            0.010724,                   0,             0.98212,              0.9724,             0.98974,              0.7337,            0.014737,           0.0030152,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.028149,            0.010899,                   0,             0.99064,             0.93637,             0.98868,             0.73544,            0.013808,           0.0032943,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.02632,           0.0099394,                   0,             0.99969,             0.99115,               0.995,             0.79626,            0.012514,           0.0027925,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.024622,            0.010119,                   0,             0.97349,                   1,              0.9943,              0.7755,            0.012029,           0.0027507,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.025993,            0.010193,                   0,             0.98958,             0.97345,             0.99361,             0.75191,            0.013073,            0.002869,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.026923,            0.010272,                   0,             0.98834,             0.99115,              0.9942,             0.75372,            0.011997,           0.0026982,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.025787,            0.010046,                   0,             0.97368,             0.98222,             0.99348,             0.78291,            0.011333,           0.0027667,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.024083,           0.0096248,                   0,             0.99121,             0.99799,             0.99368,              0.7809,            0.011629,           0.0026312,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.024196,           0.0093465,                   0,             0.99068,             0.99115,             0.99447,             0.77292,            0.012037,           0.0026151,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.024786,            0.009253,                   0,                   1,             0.98911,               0.995,             0.76819,            0.012486,           0.0027646,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.024894,           0.0096478,                   0,             0.97406,             0.99679,             0.99447,             0.78895,             0.01091,           0.0027699,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.024821,           0.0091859,                   0,             0.99102,             0.97692,             0.99448,             0.77614,            0.012742,           0.0028157,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.02714,           0.0094051,                   0,             0.99862,              0.9823,             0.99457,             0.80037,            0.010707,           0.0025946,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025004,           0.0094308,                   0,             0.98862,              0.9823,             0.99439,             0.79936,            0.010445,           0.0026225,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.021386,           0.0097906,                   0,             0.98103,             0.99115,             0.99465,             0.79609,            0.010701,           0.0027376,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.023071,           0.0091313,                   0,             0.99122,              0.9986,             0.99491,             0.77754,            0.011704,           0.0025596,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.023622,           0.0091975,                   0,             0.98917,             0.99115,             0.99438,             0.78869,             0.01154,           0.0026227,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.023618,           0.0094457,                   0,             0.99114,             0.98985,             0.99482,             0.78077,            0.011783,           0.0025655,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.021716,           0.0088368,                   0,             0.99913,             0.95575,             0.99268,             0.78544,            0.011999,           0.0028022,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023668,           0.0090686,                   0,             0.99045,             0.99115,             0.99473,             0.79688,            0.010636,           0.0024801,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.022041,           0.0089341,                   0,             0.98964,             0.99115,             0.99465,             0.79739,             0.01118,           0.0025436,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025553,           0.0095152,                   0,                   1,             0.98155,             0.99466,             0.80072,            0.010587,           0.0024582,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.021719,            0.009138,                   0,             0.99841,             0.99115,               0.995,             0.80401,            0.010629,           0.0022996,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.02108,           0.0087071,                   0,              0.9976,             0.99115,               0.995,             0.80008,            0.010872,           0.0023753,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.021714,           0.0086909,                   0,             0.99098,             0.97241,             0.98792,               0.783,             0.01191,           0.0027554,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.021691,           0.0084858,                   0,              0.9905,              0.9823,             0.99456,             0.78883,            0.011819,           0.0025756,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.021463,           0.0089155,                   0,             0.99902,             0.99115,               0.995,              0.8035,            0.010911,           0.0023584,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022563,           0.0089878,                   0,             0.99836,             0.99115,               0.995,              0.8094,            0.010625,            0.002353,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.020832,           0.0083027,                   0,             0.99879,                   1,               0.995,             0.80238,             0.01155,            0.002549,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019936,              0.0083,                   0,             0.99948,                   1,               0.995,             0.81218,            0.010541,           0.0022637,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021346,           0.0092949,                   0,             0.99873,                   1,               0.995,             0.79427,            0.010437,           0.0023806,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.020066,           0.0083576,                   0,             0.99907,                   1,               0.995,             0.81007,            0.010385,           0.0023044,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021124,           0.0084369,                   0,             0.99918,                   1,               0.995,             0.81622,            0.010467,           0.0021755,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.018692,           0.0084074,                   0,                   1,             0.99955,               0.995,             0.81189,            0.011663,           0.0023042,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020426,           0.0087858,                   0,                   1,             0.99948,               0.995,             0.81838,            0.010116,           0.0021719,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.018335,           0.0083012,                   0,                   1,             0.99953,               0.995,             0.83585,            0.010194,           0.0021785,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019566,           0.0080632,                   0,                   1,             0.99983,               0.995,             0.81909,            0.010338,           0.0023126,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.019165,           0.0083057,                   0,                   1,             0.99908,               0.995,             0.82738,            0.010391,           0.0023667,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021479,           0.0088932,                   0,                   1,             0.99947,               0.995,             0.82683,           0.0099868,           0.0022776,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019951,           0.0091098,                   0,             0.99901,                   1,               0.995,             0.82134,           0.0099121,           0.0022038,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.019151,             0.00792,                   0,             0.99941,                   1,               0.995,             0.82046,            0.010231,           0.0022315,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018737,           0.0082223,                   0,             0.99965,                   1,               0.995,             0.82691,            0.010194,           0.0022197,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019442,           0.0085296,                   0,              0.9996,                   1,               0.995,             0.82673,           0.0095075,           0.0021372,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019777,           0.0083324,                   0,             0.99993,                   1,               0.995,             0.83451,           0.0092003,           0.0021316,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.017043,           0.0080755,                   0,              0.9999,                   1,               0.995,             0.82278,           0.0098921,           0.0021788,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019616,           0.0090247,                   0,                   1,             0.99964,               0.995,             0.82798,           0.0095929,           0.0021555,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018528,           0.0084505,                   0,                   1,             0.99931,               0.995,             0.82493,           0.0097333,           0.0020547,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020748,           0.0081682,                   0,                   1,             0.99987,               0.995,             0.82536,           0.0094285,           0.0020913,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019315,           0.0087194,                   0,                   1,             0.99972,               0.995,             0.83162,           0.0093483,           0.0021196,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018165,            0.007769,                   0,                   1,              0.9997,               0.995,             0.83348,           0.0093326,           0.0021061,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020328,           0.0076765,                   0,                   1,             0.99969,               0.995,             0.83548,           0.0090018,           0.0021228,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.01941,           0.0078073,                   0,                   1,             0.99975,               0.995,             0.82447,           0.0095928,           0.0021386,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01881,            0.008456,                   0,                   1,             0.99987,               0.995,             0.82584,           0.0097422,           0.0021145,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019628,           0.0084378,                   0,                   1,             0.99967,               0.995,             0.82517,           0.0097953,           0.0021071,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017013,           0.0074997,                   0,             0.99932,                   1,               0.995,             0.82975,           0.0092424,           0.0020637,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.016501,           0.0080614,                   0,             0.99902,                   1,               0.995,             0.82545,           0.0095636,           0.0020943,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.016949,           0.0075473,                   0,             0.99916,                   1,               0.995,             0.81882,            0.009751,           0.0020879,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017469,           0.0077535,                   0,             0.99922,                   1,               0.995,             0.83022,           0.0096414,           0.0020664,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017204,           0.0079294,                   0,             0.99949,                   1,               0.995,             0.82776,            0.009696,           0.0020574,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017694,           0.0077592,                   0,             0.99944,                   1,               0.995,             0.82587,           0.0096179,           0.0020652,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017607,           0.0078801,                   0,             0.99929,                   1,               0.995,             0.83495,           0.0095609,           0.0020627,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016951,           0.0075428,                   0,             0.99928,                   1,               0.995,             0.83609,           0.0094197,           0.0020248,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016913,           0.0072128,                   0,             0.99935,                   1,               0.995,             0.83252,           0.0093852,           0.0020267,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017332,           0.0078555,                   0,             0.99936,                   1,               0.995,             0.83332,           0.0093385,           0.0020338,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016668,            0.007959,                   0,             0.99933,                   1,               0.995,             0.83017,           0.0093146,           0.0020313,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018282,           0.0085845,                   0,             0.99933,                   1,               0.995,             0.83371,           0.0093025,           0.0020155,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017804,           0.0079897,                   0,             0.99941,                   1,               0.995,             0.83425,            0.009476,           0.0020111,                   0,            0.000298,            0.000298,            0.000298
